Термин,Определение
Clip skip,"Clip skip is set to 2 for NAI models, but with other models (like Trinart) it have bad effect.
Default value = 1."
dataset,Набор данных (т.е. картинок) для обучения нейросети.
Denoising Strength,"Параметр за размытие области перед перерисовкой. При большом значении denoising strength (например, 0.7) может сгенерироваться что-то не вписывающееся в исходное изображение, из-за того что с такой степенью размытия сложно установить изначальные объекты изображения."
Diffusion-based models,"Класс современных генеративных моделей, которые генерируют разнообразные изображения с высоким разрешением
Синонимы: Диффузионные модели, модели на основе диффузии."
https://beta.dreamstudio.ai/dream,Сайт предоставляющий интерфейс для генерации изображений Stable Diffusion.
dreemboothing,"dreambooth is an adaption of google AI training method, it can train existing networks on a set of images and change it permanently, see Lain model in pic I post"
embedding,Представление.
fine tuning methods,ДОПИСАТЬ
finetune hypernetwork,ДОПИСАТЬ
"Gradio ","Библиотека Python с открытым исходным кодом, которая используется для создания демонстраций машинного обучения и обработки данных, а также веб-приложений."
hypernetwork,"Гиперсеть
1. HyperNetwork is a network that generates weights for a main network
2. Is a way to train an addon, which you can load or unload to an model
3. Позволяет корректировать стиль генерируемого изображения, например anime hypernetwork делает больший уклон на изображения в стиле аниме."
img2img,Метод генерации изображения на основе исходного изображения.
"interrogator model, image tag estimation system","Модель допроса. Позволяет идентифицировать, что изображено на изображении, ответить на вопрос про изображение или идентифицировать используемые Danbooru теги изображения."
model (checkpoint),Нейросеть обученная на определенном наборе данных.
Promt,"Текстовый запрос для генерации изображения.
Синонимы: Запрос, Подсказка, Промт"
"Resolution (fp16, fp32)","1. Формат представления чисел, основным атрибутом которого является точность (precision).
Для обучения моделей рекомендуется использовать fp32 (потребляет больше VRAM!), а для обычного использования модели достаточно fp16.
2. Имеет отношение к 32 битной и 64 битным системам, в 32 битных используется fp16.
3. If you are limited by GPU memory and have less than 10GB of GPU RAM available (сейчас рекомендации ниже?), please make sure to load the Stable Diffusion model in float16 precision instead of the default float32 precision as done above. You can do so by loading the weights from the fp16 branch and by telling diffusers to expect the weights to be in float16 precision."
Sampler,"Метод уменьшения уровня шума для получения изображения.
Синонимы: Выборка, Дискретизация, Семплер"
Sampler convergence,"Сходимость методов выборки подразумевает то, что после определенного количества шагов выборки (sampling steps) генерируемое изображение перестает меняться и увеличение шагов не приводит к изменениям изображения. Меньше изменений видно по мере увеличения количества шагов.
Примечание: Чем меньше количество шагов для генерации изображения, которое не будет изменяться, тем лучше. Это позволяет при генерации изображений пачками сократить время, не используя большое количество шагов."
Sampling,"Процесс генерации изображения из шума.
Синонимы: Метод выборки"
Stable Diffusion,"Модель генерации (generation model) для создания изображений из текста, которая понимает взаимосвязи между словами и изображениями."
https://github.com/AUTOMATIC1111/stable-diffusion-webui,Интерфейс браузера на основе библиотеки Gradio для Stable Diffusion.
Tokens,ДОПИСАТЬ (ВАЖНО ПОНИМАТЬ ЧТО ЭТО В SD И ВООБЩЕ В НЕЙОНКАХ!)
txt2img,Метод генерации изображения по текстовому запросу.
Variational Autoencoder (VAE),"can be loaded to an model, only some support it, for example the NAI leaked model has an vae changing weights towards anime even further"
Weights,Приоритет (вес) выражений в запросе.
