Название,Сервис
Задачи,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/TickTick%2056aeb4dbac0b4e0691066ea8c7dbbf5a.csv
Музыка,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Spotify%20ff879e4c9a3f4e989521acf86e5b95e9.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Yandex%20Music%207f4ec89d26ad49dd892ff83198a01578.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Drive%20c20330958f334a589db5da5758f6cf1a.csv"
Ссылки,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Raindrop%20e63f46ec941c4ca58b2357a8362e6b9e.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Chrome%20ac84bf4593544e359be2080d7b0bdbc3.csv"
Выделения,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Raindrop%20e63f46ec941c4ca58b2357a8362e6b9e.csv
Списки контента,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Notion%209117ae50833e4663863ef940675a1455.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/YouTube%20a11cf41db20e426d9dc5752605c02062.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Chrome%20ac84bf4593544e359be2080d7b0bdbc3.csv"
Почта,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Mail%20207352d2b3cd4a489eef768849b85956.csv
Заметки,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Keep%20c3a65d4917114ad9bd1d55ee155acaf9.csv
Карты,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Drive%20c20330958f334a589db5da5758f6cf1a.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20My%20Maps%205edc1d7c14444b1589875e03e0033eba.csv"
Бэкапы,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Drive%20c20330958f334a589db5da5758f6cf1a.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/GitHub%20ee91fd4d7b844f74a42d3d99c29b15d5.csv"
Код и скрипты,"%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/Google%20Drive%20c20330958f334a589db5da5758f6cf1a.csv, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D1%83%D0%B5%D0%BC%D1%8B%20%D1%81%D0%B5%D1%80%D0%B2%D0%B8%D1%81%D1%8B%E2%80%9D%209ac32f076f0e44ca9d411fba12f5a8b9/GitHub%20ee91fd4d7b844f74a42d3d99c29b15d5.csv"
