Термин,Определение,Источник
Компиляция,Код выполняется сразу весь. Нет совместимости со всеми операционными системами по умолчанию.,
Интерпритация,Код выполняется построчно. Упрощенная отладка. Сравнительно низкая скорость выполнения. Кроссплатформенность.,
Трансляция,,
Типизация,"Статическая типизация — необходимо объявлять тип переменной вручную.
Динамическая типизация — не требуется объявлять тип переменной.",
Сниппет,,
Юникод (Unicode),"Стандарт кодирования символов, включающий в себя знаки почти всех письменных языков мира.",https://ru.wikipedia.org/wiki/Юникод
Парадигма,"Совокупность идей и понятий, определяющих стиль написания компьютерных программ
 (подход к программированию)",https://ru.wikipedia.org/wiki/Парадигма_программирования
Сборщик мусора,,
Утечка памяти,,
Pip (Менеджер пакетов),"Cистема управления пакетами, которая используется для установки и управления программными пакетами, написанными на Python.",https://ru.wikipedia.org/wiki/Pip_(менеджер_пакетов)
