Категория,Рекомендация,Описание,Приоритет,Источник
🍱 Питание,Пить 2+ литра воды в день,,1,https://youtu.be/2e7YE0T2Kbw
🍱 Питание,КБЖУ,"Достаточно питаться, чтобы был профицит калорий и достаточно белка для построения мышц.
Пример: 3,5г медленных углеводов и 1,5-2г белка на кг веса.",1,https://youtu.be/2e7YE0T2Kbw
🍱 Питание,Соблюдать питьевой режим во время тренировки,"Пить маленькими глотками на протяжении всей тренировки, чтобы не допускать обезвоживания. Не стоит пить много воды за раз.",1,
😴 Отдых,Отдыхать 24 часа между тренировками,"Отдых между тренировками 24 часа. Это усредненное значение, без учета нагрузки на конкретные мышечные группы и уровень спортсмена.",1,
😴 Отдых,Спать 8 часов,"Соблюдать режим сна. Спать как минимум 8 часов, чтобы было время для восстановления и выработки гормонов (тестостерона), т.к. мышцы растут во время сна.",1,https://youtu.be/2e7YE0T2Kbw
😴 Отдых,Отдых между подходами,На крупные мышечные группы отдыхать не менее 3 минут. На малые мышечные группы отдыхать не менее 2 минут. Согласно исследованиям.,1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Соблюдать технику выполнения упражнений,"Не забывать про негативную фазу. Не использовать читинг. Использовать полную амплитуду (?сомнительно, потенциально может привезти к травме и повышает нагрузку на суставы и связки?).",1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Использовать диапазон повторений от 8 до 15,В этом диапазоне происходит полное вовлечение мышечной группы.,1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Отслеживать прогресс,"Позволяет следить за изменениями и на основе полученной информации вносить коррективы в питание и тренировки.
Пример: Отслеживание калорий и увеличения массы для корректировки питания.",1,
🏋️‍♂️ Тренировки,Вести дневник тренировок,"Чтобы отслеживать прогресс, видеть рабочий вес в прошлый раз и стараться прибавлять повторения/вес хотя бы в одном из упражнений.",1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Нейромышечная связь важна,"Развивать способность осознанно чувствовать мышцы, что позволит усиливать степень их вовлечения при выполнении упражнений. То есть, сосредоточиться на работающей мышце, чтобы не махать руками ""в холостую"".
Пример: При разводке на плечи в стороны, тянуть именно плечи, а не поднимать кисти рук вверх.
Пример: При поднятии штанги на бицепс концентрироваться не на подъеме штанги, а на сокращении мышцы, смотреть как мышца сокращается, ощущать это.",1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Каждая мышечная группа должна прорабатываться минимум 2 раза в неделю,"При более частой нагрузке на мышечную группу, согласно исследованиям она растет лучше.",1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,"Если не удается повышать рабочий вес, увеличивать количество повторений",,1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Выполнять от 5 до 10 подходов для одной мышечной группы за 1 тренировку.,,1,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Прогрессия нагрузок,Стараться повышать нагрузку (рабочий вес или количество повторений) на каждой из тренировок.,1,https://youtu.be/2e7YE0T2Kbw
📝 Сбор информации,Категоризировать полученную информацию (категории и подкатегории).,"Добавлять найденную информацию (советы и принципы) в заранее выделенные категории, для упрощения дальнейшего внедрения в повседневную жизнь и избежания состояния ""потерянности"" при разборе информации. Пример категорий: питание, тренировки, отдых и восстановление.",1,
📝 Сбор информации,Форматировать информацию,"Выделять информацию в рамку или цветом, в зависимости от типа информации. Пример: выделять красным информацию для дальнейшего разбора и проверки, выделять в рамку информацию в которой я уверен.",1,
📝 Сбор информации,"Указывать не только тезис, но и приводить аргументы в документе (что?/почему?) + примеры",Со временем причина выбора тезиса забывается. Аргументы позволяют освежить в памяти правильность выбранного тезиса.,1,
📝 Сбор информации,"Указывать источник информации (ссылка) в документе (по возможности, давать ссылку с выделенным фрагментом текста).",Источник позволяет оценить достоверность и актуальность информации при повторной проверке.,1,
🍱 Питание,Есть достаточное количество жиров,"Жиры влияют на гормональный фон, в. т.ч. выработку тестостерона.
Употреблять клетчатку/овощи для улучшения переваривания и усвоения пищи.",2,https://youtu.be/2e7YE0T2Kbw
🏋️‍♂️ Тренировки,Не выполнять жимы и тяги из-за головы,Жим из-за головы и тяги (подтягивания) за голову являются травмоопасными упражнениями для плечевого сустава.,2,
🏋️‍♂️ Тренировки,Выполнять симметричные упражнения,"При длительном выполнении ассиметричных упражнений больше риск развития мышечной асимметрии, лучше отдавать предпочтение симметричным упражнениям, в которых отсутствует размножка или положение тела симметрично.",2,
