Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Necesse,Yes,PC Игры,No,12 дек. 2019,"March 30, 2022 2:16 PM","November 4, 2022 3:53 PM"," Инди,  Приключенческие игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1169040/header.jpg?t=1646551721,"Necesse - это приключенческая игра-песочница с видом сверху в процедурно сгенерированном мире. Улучшайте экипировку и поселения вашего персонажа с помощью сражений, добычи полезных ископаемых, исследований, создания предметов, торговли и многого другого!",⭐⭐⭐,87,https://store.steampowered.com/app/1169040/Necesse/,📅 Ожидает
Don't Starve Together,Yes,PC Игры,No,21 апр. 2016,"March 30, 2022 2:17 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы",https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header.jpg?t=1643303985,"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.",⭐,95,https://store.steampowered.com/app/322330/Dont_Starve_Together/?l=russian,🗑️ Брошена
Beat Saber,Yes,VR Игры,Yes,21 мая 2019 г.,"March 29, 2022 4:34 PM","December 11, 2022 9:17 AM"," Музыка,  Спорт, Казуальные",https://scontent.oculuscdn.com/v/t64.5771-25/75375754_1476790536050329_3528131190826542203_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=1&ccb=1-5&_nc_sid=79b88e&_nc_ohc=vaJ5o61ao_kAX9T6df4&_nc_ht=scontent.oculuscdn.com&oh=00_AT-VTkIabPDBDY8mzuY4WACoq7EorZbgBrNeb_SPHbyhZA&oe=62478C37,"Beat Saber is a unique VR rhythm game where your goal is to slash the beats (represented by small cubes) as they are coming at you. 

Every beat indicates which saber you need to use and also the direction you need to match. All the music is composed to perfectly fit the handmade levels. 

Our goal is to make players almost dance while cutting the cubes and avoiding obstacles.

Each cut is strongly supported by great sound and visual effects to emphasize the rhythm.",🧡,80,https://www.oculus.com/experiences/quest/2448060205267927/?locale=ru_RU,🔄 Реиграбельна
ELDEN RING,Yes,PC Игры,No,25 фев. 2022,"March 30, 2022 3:36 PM","December 31, 2022 9:48 AM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/header.jpg?t=1646817776,"НОВЫЙ ФЭНТЕЗИЙНЫЙ РОЛЕВОЙ БОЕВИК. Восстань, погасшая душа! Междуземье ждёт своего повелителя. Пусть благодать приведёт тебя к Кольцу Элден.",⭐⭐⭐,87,https://store.steampowered.com/app/1245620/ELDEN_RING/,🗑️ Брошена
Stray,No,PC Игры,No,2022,"March 30, 2022 3:46 PM","January 3, 2023 1:40 PM"," Инди,  Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/1332010/header.jpg?t=1639168076,"Потерявшемуся, одинокому, оторванному от семьи бродячему коту предстоит разгадать древнюю тайну, вырваться из давно заброшенного кибергорода и найти дорогу домой.",🧡,,https://store.steampowered.com/app/1332010/Stray/,✔️ Пройдена
Vampire Survivors,No,PC Игры,No,17 дек. 2021,"June 14, 2022 4:25 AM","January 6, 2023 4:04 PM"," Инди,  Ролевые игры, Казуальные игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1794680/header.jpg?t=1655162864,"Mow down thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.",⭐⭐⭐,97,https://store.steampowered.com/app/1794680/Vampire_Survivors/,🎮 В процессе
Brotato,No,PC Игры,No,,"June 14, 2022 8:25 AM","January 3, 2023 1:44 PM"," Инди,  Ролевые игры, Казуальные игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1942280/header.jpg?t=1654272173,Brotato is a top-down arena shooter roguelite where you play a potato wielding up to 6 weapons at a time to fight off hordes of aliens. Choose from a variety of traits and items to create unique builds and survive until help arrives.,🧡,,https://store.steampowered.com/app/1942280/Brotato/,🔄 Реиграбельна
Devil Daggers,No,PC Игры,No,18 фев. 2016,"March 29, 2022 4:30 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/422970/header.jpg?t=1590103935,"Devil Daggers is a fast-paced shooter that places you in an abyssal arena to face endless legions of demons. Armed with versatile magic daggers and a fluid movement system, fight to survive as long as you can.",⭐⭐⭐,92,https://store.steampowered.com/app/422970/Devil_Daggers/,🎮 В процессе
DARK SOULS™: REMASTERED,No,PC Игры,No,24 мая. 2018,"March 30, 2022 4:11 PM","January 3, 2023 1:45 PM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/570940/header.jpg?t=1644436411,"…Затем появился огонь. Заново переживите события легендарной игры, с которой всё началось. В новом воплощении вас ждёт возвращение в Лордран, представленный в HD-графике с поддержкой 60 кадров/с.",⭐⭐,88,https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/,🗑️ Брошена
Core Keeper,Yes,PC Игры,No,8 мар. 2022,"March 29, 2022 2:53 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Казуальные игры, Ранний доступ",https://cdn.cloudflare.steamstatic.com/steam/apps/1621690/header_alt_assets_2.jpg?t=1647972563,"Исследуйте бескрайнее подземелье, полное существ, реликвий и ресурсов в приключенческой песочнице. Добывайте ресурсы, сражайтесь, изготавливайте предметы, выращивайте еду в одиночку или в компании до 8 игроков и раскройте тайну древнего Ядра.",,89,https://store.steampowered.com/app/1621690/Core_Keeper/,⌛ В планах
Satisfactory,Yes,PC Игры,No,8 июн. 2020,"March 29, 2022 2:57 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/526870/header.jpg?t=1637686926,"Satisfactory — это игра от первого лица в открытом мире, вы которой вам нужно строить заводы, с упором на исследования и бои. Играйте в одиночестве или с друзьями, исследуйте незнакомую планету, возводите многоэтажные заводы и вступите в конвейерный рай!",,95,https://store.steampowered.com/app/526870/Satisfactory/,⌛ В планах
