Название,Комментарий,Цены,Приоритет,Категория
funday,"Верх 400р; Низ 1200. Большой выбор, в т.ч. рубашки.",💵,1,Одежда
Kari, ,💵,1,Обувь
Zenden,"Покупаю здесь обувь. Цены - 1,5 - 2,5к.
Часто бывают акции.
Качество так себе, на сезон.",💵,2,Обувь
befree,Футболки с интересными принтами 700р,💵,2,Одежда
Modis,,💵,3,Одежда
Фабрика обуви,,💵,3,Обувь
Familia,Аутлет как OFFPRICE,💵,4,Одежда
Kiabi,Пальто 3-5к (?) Маленький ассортимент,💵,5,Одежда
Смешные цены,,💵,,Одежда
ТВОЕ,,💵,,Одежда
Demix,,💵,,Одежда
Спортмастер,Обувь 3500,💵,,Одежда
ДЕКАТЛОН,Приятные цены на спорт. экипировку и соответствующую одежду,💵,,Одежда
Cropp,Футболки с интересными принтами (Возможно дорого?),💵💵,,Одежда
NewYorker,,💵💵,,Одежда
H&M (?),,💵💵,,Одежда
House (?),,💵💵,,Одежда
Gloria Jeans,,💵💵,,Одежда
OFFPRICE,Аутлет как Familia. Пальто 5500-7500,💵💵,,Одежда
Mango,,💵💵💵,,Одежда
Finn Flare,Дорого,💵💵💵,,Одежда
Levis,Дорого,💵💵💵,,Одежда
Zara,Дорого (Верх 999р; Низ 2000 р),💵💵💵,,Одежда
Pull and Bear,"Дорого (Верх 999р; Низ 2000 р)
Но нормальный выбор",💵💵💵,,Одежда
Ostin,"Дорого (Верх 999р; Низ 1300 р)
Но нормальный выбор",💵💵💵,,Одежда
Bershka,Дорого (Верх 999р; Низ 2000 р),💵💵💵,,Одежда
SELA,Дорого,💵💵💵,,Одежда
Reserved (?),,?,,Одежда
