Наименование,Описание,Входные параметры,Выходящее значение,Пример,Вид,Связь
print(),Вывод данных в консоль,,,print(’Привет!’),Ввод/вывод значений,
input(),Ввод данных,,,input('Введите значение: '),Ввод/вывод значений,
min(),Возвращает наименьшее значение,,,"print(min(5,1,3)) = 1",Операции с числами,
max(),Возвращает наибольшее значение,,,"print(min(5,1,3)) = 5",Операции с числами,
abs(),Возвращает модуль числа,,,print(abs(-5)) = 5,Операции с числами,
pow(),Возведение числа в степень,,,"print(pow(2,2)) = 4",Операции с числами,
round(),Округление числа,,,print(round(3/2)) = 2,Операции с числами,
str(),Конвертация в строку,,,"x = 'age is '
y = 99
print(x+str(y)) = age is 99",Конвертация значений,
int(),Конвертация в целое число,,,"x = 5
y = '7'
print(x+int(y)) = 12",Конвертация значений,
float(),Конвертация в число с плавающей запятой,,,"x = 5
y = '7'
print(x+float(y)) = 12.0",Конвертация значений,
bool(),Конвертация в логический тип данных,,,"x = ""True""
y = True
print(bool(x)==y) = True",Конвертация значений,
range(),"Генерирует серию целых чисел, от значения start до stop.
Можно использовать в цикле for для обхода диапазона как списка.","range([start],stop,[step])
start — начальное значение,
stop — конечное значение,
step — шаг.

Можно не указывать первый параметр, тогда цикл начнется с 0.","int, последовательность целых чисел, с заданным шагом","for i in range(1,4):
print(i) = 1 2 3",Операции с числами,
slice(),,,,,,%D0%94%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%204b19bbf843c748bca35b57c499f83ae1/%D0%A1%D1%80%D0%B5%D0%B7%20(Slice)%203b48386cb26b4b669d2710162c98bdb0.csv
len(),Возвращает длину (количество элементов) в объекте,"len(s)
s — последовательность или коллекция",int,"company1 = 'Apple'
company2 = 'Samsung'
print(len(company1+company2)) = 12",,
