Группа,Наименование,Категория,Оценка
Любимая,Curtis - French Truffle,"Напитки, Чай",❤️❤️❤️
Любимая,Tess - Cosmopolitan Party,"Напитки, Чай",❤️❤️❤️
Любимая,Greenfield - Chocolate Toffee,"Напитки, Чай",❤️❤️❤️
Любимая,Пирожки (сладкие),Обычная еда,❤️❤️❤️
Любимая,Лапша (Гречневая),Обычная еда,❤️❤️❤️
Любимая,Пицца,Обычная еда,❤️❤️❤️
Любимая,Роллы,Обычная еда,❤️❤️❤️
Любимая,Сыр с плесенью,Обычная еда,❤️❤️❤️
Любимая,Сыр - Сулугуни,Обычная еда,❤️❤️❤️
Любимая,Ягодные джемы,Соусы и топпинги,❤️❤️❤️
Любимая,Мартини (Вермут),"Алкоголь, Напитки",❤️❤️❤️
Любимая,Байкал,"Газированные напитки, Напитки",❤️❤️❤️
Любимая,Мультифрукт сок,"Напитки, Соки и морсы",❤️❤️❤️
Любимая,Морс ягодный,"Напитки, Соки и морсы",❤️❤️❤️
Любимая,Миндаль,Орехи,❤️❤️❤️
Любимая,Кешью,Орехи,❤️❤️❤️
Любимая,Фисташки,Орехи,❤️❤️❤️
Любимая,Черешня,Фрукты и ягоды,❤️❤️❤️
Любимая,Грейпфрут,Фрукты и ягоды,❤️❤️❤️
Любимая,Помело,Фрукты и ягоды,❤️❤️❤️
Любимая,Ежевика,Фрукты и ягоды,❤️❤️❤️
Любимая,"Банановые пряники ""Сан-Банэ""","Пряники и печенье, Сладости",❤️❤️❤️
Любимая,Oreo Milk Choc,"Пряники и печенье, Сладости",❤️❤️❤️
Любимая,Мятные пряники,"Пряники и печенье, Сладости",❤️❤️❤️
Любимая,Кухмастер - Американо,"Пряники и печенье, Сладости",❤️❤️❤️
Любимая,Шоколадные пряники,"Пряники и печенье, Сладости",❤️❤️❤️
Любимая,Тирольский - Ягодная поляна,"Пироги и торты, Сладости",❤️❤️❤️
Любимая,"Десерты с творожным кремом, фруктами, желе","Пироги и торты, Сладости",❤️❤️❤️
Любимая,Sula,"Конфеты и леденцы, Сладости",❤️❤️❤️
Любимая,Барни (Банан и йогурт),Пирожное,❤️❤️❤️
Любимая,Kinder - Молочный ломтик,"Пирожное, Сладости",❤️❤️❤️
Любимая,Alpen Gold,"Сладости, Шоколад",❤️❤️❤️
Любимая,Milka Oreo,"Сладости, Шоколад",❤️❤️❤️
Любимая,Молочные коктейли,Напитки,❤️❤️❤️
Любимая,Кофе (Латте с сиропом),Напитки,❤️❤️❤️
Любимая,Апельсиновый сок,"Напитки, Соки и морсы",❤️❤️❤️
Любимая,Мороженое,Сладости,❤️❤️❤️
Любимая,Greenfield - Jasmine Dream,"Напитки, Чай",❤️❤️
Любимая,Greenfield - Summer Bouquet,"Напитки, Чай",❤️❤️
Любимая,Greenfield - Milky Oolong,"Напитки, Чай",❤️❤️
Любимая,Суп пюре,Обычная еда,❤️❤️
Любимая,Сырный суп,Обычная еда,❤️❤️
Любимая,Мед,Соусы и топпинги,❤️❤️
Любимая,Блины,Соусы и топпинги,❤️❤️
Любимая,Шоколадная паста,Соусы и топпинги,❤️❤️
Любимая,Вино,"Алкоголь, Напитки",❤️❤️
Любимая,"Coca-Cola, Pepsi","Газированные напитки, Напитки",❤️❤️
Любимая,Aпельсиновый,"Напитки, Соки и морсы",❤️❤️
Любимая,Фундук,Орехи,❤️❤️
Любимая,Киви,Фрукты и ягоды,❤️❤️
Любимая,Вишня,Фрукты и ягоды,❤️❤️
Любимая,Фейхоа,Фрукты и ягоды,❤️❤️
