Наличие,Наименование,Кол-во,Категория,Комната,Приоритет
No,Пододеяльник,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Наволочка,4,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Подушка,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Плед,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Простыня,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Наматрасник,1,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Матрас,1,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Зимнее одеяло,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Лёгкое одеяло,2,Спальные принадлежности,../%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%81%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D1%8F%20abca8eeb7b1e4d78911ff130b17add03.csv,Жизненно важные
No,Держатель для туалетной бумаги,1,Туалетные принадлежности,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
