Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Бегущий в Лабиринте. Тотальная угроза,Джеймс Дэшнер,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/8271421-dzheyms-deshner-totalnaya-ugroza.jpg,Прочитано,"September 27, 2022 1:02 PM",Развлекательная литература,"Очень хорошая книга, описывающая на первый взгляд очевидные моменты взаимоотношений. Позволяет понять потребности партнера и понять свои. Мои мысли в https://www.notion.so/36de0a5a006b4a728ac62f64d3d97f65.",,https://www.litres.ru/dzheyms-deshner/totalnaya-ugroza/,
Пять языков любви,Гэри Чепмен,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/161177-geri-chepmen-pyat-yazykov-lubvi.jpg,Прочитано,"September 27, 2022 1:03 PM",Книги по саморазвитию,Одна из лучших книг для понимания своего партнера. Выписал много информации.,,https://www.litres.ru/geri-chepmen/pyat-yazykov-lubvi/,
Пикник на обочине,Аркадий и Борис Стругацкие,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_330/23467386-arkadiy-i-boris-strugackie-piknik-na-obochine-23467386.jpg,Прочитано,"September 27, 2022 1:04 PM",Развлекательная литература,,,https://www.litres.ru/arkadiy-i-boris-strugackie/piknik-na-obochine-23467386/,
Стальной Крыса (серия),Гарри Гаррисон,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/144001-garri-garrison-rozhdenie-stalnoy-krysy.jpg,Читаю,"September 27, 2022 1:18 PM",Развлекательная литература,,,https://www.litres.ru/garri-garrison/rozhdenie-stalnoy-krysy/,
Системная и программная инженерия. Словарь-справочник,В. К. Батоврин,https://cv0.litres.ru/pub/c/pdf-kniga/cover_415/22072509-viktor-batovrin-sistemnaya-i-programmnaya-inzheneriya-slovar-spravochnik-22072509.jpg,В планах,"September 27, 2022 3:22 PM",Книги для работы,,,https://www.litres.ru/viktor-batovrin/sistemnaya-i-programmnaya-inzheneriya-slovar-spravochnik-22072509/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
"Бизнес-процессы. Моделирование, внедрение, управление",Владимир Репин,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/4500556-vladimir-repin-biznes-processy-modelirovanie-vnedrenie-upravlenie.jpg,В планах,"September 27, 2022 3:23 PM",Книги для работы,,,https://www.litres.ru/vladimir-repin/biznes-processy-modelirovanie-vnedrenie-upravlenie/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
"Бизнес-процессы. Как их описать, отладить и внедрить. Практикум",Михаил Рыбаков,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/22098451-mihail-rybakov-biznes-processy-kak-ih-opisat-otladit-i-vnedrit-praktikum.jpg,В планах,"September 27, 2022 3:24 PM",Книги для работы,,,https://www.litres.ru/mihail-rybakov/biznes-processy-kak-ih-opisat-otladit-i-vnedrit-praktikum/otzivi/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
Как навести порядок в своем бизнесе. Как построить надежную систему из ненадежных элементов. Практикум,Михаил Рыбаков,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/21587992-mihail-rybakov-kak-navesti-poryadok-v-svoem-biznese-kak-postroit-nadezhnuu.jpg,В планах,"September 27, 2022 3:24 PM",Книги для работы,,,https://www.litres.ru/mihail-rybakov/kak-navesti-poryadok-v-svoem-biznese-kak-postroit-nadezhnuu/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
Учитесь видеть бизнес-процессы. Построение карт потоков создания ценности,Майк Ротер,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/16898027-dzhon-shuk-uchites-videt-biznes-processy-postroenie-kart-potokov-sozdaniya-cennosti.jpg,В планах,"September 27, 2022 3:24 PM",Книги для работы,,,https://www.litres.ru/dzhon-shuk/uchites-videt-biznes-processy-postroenie-kart-potokov-sozdaniya-cennosti/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
Искусство системного мышления. Необходимые знания о системах и творческом подходе к решению проблем,Джозеф О'Коннор,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/7394814-dzhozef-o-konnor-3-iskusstvo-sistemnogo-myshleniya-neobhodimye-znaniya-o-s.jpg,В планах,"September 27, 2022 3:24 PM",Книги для работы,,,https://www.litres.ru/dzhozef-o-konnor-3/iskusstvo-sistemnogo-myshleniya-neobhodimye-znaniya-o-s/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BD%D1%8B%D0%B8%CC%86%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20ae200d94ea88489f8e0a0675bbb363f5.csv
