Название,Стили,Ссылка
Stable Diffusion,"All, Main Model",https://huggingface.co/CompVis
Stable Diffusion Inpainting,Inpainting,https://huggingface.co/runwayml/stable-diffusion-inpainting
Anon’s Models,All,
seek.art_MEGA,All,https://huggingface.co/coreco/seek.art_MEGA
Midjourney Diffusion,All,https://huggingface.co/prompthero/midjourney-v4-diffusion
TrinArt2,Anime,
Waifu Diffusion,Anime,
NovelAI (NAI),Anime,
Mo Di Diffusion,Disney,https://huggingface.co/nitrosocke/mo-di-diffusion
Cutesexyrobutts Hypernetwork,,https://huggingface.co/SirVeggie/cutesexyrobutts
