Название,Ссылка,Категория
Каталог моделей #1,https://civitai.com/,Модели
Каталог моделей #2,https://rentry.org/sdmodels,Модели
Каталог моделей #3,https://stablediffusionhub.com/,Модели
Список поддерживаемых художников #1,https://stablediffusion.fr/artists,Художники
Список поддерживаемых художников #2,https://rentry.org/artists_sd-v1-4,Художники
Вики по SD #1,https://wiki.installgentoo.com/wiki/Stable_Diffusion,Информация
Вики по SD #2,https://stablediffusion.miraheze.org/wiki/Main_Page,Информация
Пример генерации “от идеи до изображения”,https://pikabu.ru/story/sozdayom_sluchaynuyu_animeshnuyu_zverushku_s_pomoshchyu_neyroseti_9568983,Примеры
Пример обучения при помощи Textual Inversion для генерации картинок с манулами,https://pikabu.ru/story/neyrosetevyie_manulyi_stable_diffusion__textual_inversion_9578486,Примеры
Генератор запросов для различных AI,https://promptomania.com/prompt-builder/,Утилиты
Генератор запросов с тегами сгруппированными по категориям,https://www.diffusion.gg/experiments/batch,Утилиты
Идентификация тегов Danbooru у загруженного изображения,http://dev.kanotype.net:8003/deepdanbooru/,Утилиты
Скрипты для WebUI от AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Custom-Scripts,Утилиты
Галерея изображений ArtStation (Поиск референсов),https://www.artstation.com/?sort_by=community,Галереи
Галерея изображений KREA,https://www.krea.ai/,Галереи
Галерея изображений Lexica.art,https://lexica.art/,Галереи
Галерея изображений Pinterest (Поиск референсов),https://ru.pinterest.com/,Галереи
Галерея изображений “Enterpix”,https://enterpix.app/search/visual,Галереи
"Галерея интересных запросов (иконки, изометрические комнаты и т.п.)",https://publicprompts.art/,Галереи
